,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,kahului,US,20.8947,-156.47,87.82,58,40,20.71,scattered clouds
108,georgetown,MY,5.4112,100.3354,78.73,92,40,4.61,scattered clouds
109,thompson,CA,55.7435,-97.8558,57.36,72,75,17.27,broken clouds
110,port moresby,PG,-9.4431,147.1797,78.22,83,40,3.44,scattered clouds
111,russell,US,32.3502,-85.1999,76.91,91,75,0.0,broken clouds
112,faya,SA,18.3851,42.4509,68.11,22,51,3.15,broken clouds
113,lodja,CD,-3.4833,23.4333,69.03,93,98,1.59,overcast clouds
114,nantucket,US,41.2835,-70.0995,64.96,72,1,10.36,clear sky
115,clyde river,CA,70.4692,-68.5914,29.57,64,85,3.38,overcast clouds
116,pangnirtung,CA,66.1451,-65.7125,31.62,81,87,9.35,overcast clouds
117,cidreira,BR,-30.1811,-50.2056,66.69,96,92,19.46,heavy intensity rain
118,saint-augustin,CA,51.226,-58.6502,50.31,51,5,12.66,clear sky
119,dudinka,RU,69.4058,86.1778,28.11,87,100,20.27,overcast clouds
120,poso,ID,-1.3959,120.7524,81.19,74,96,2.75,overcast clouds
121,tiksi,RU,71.6872,128.8694,34.86,73,99,19.71,overcast clouds
122,fortuna,US,40.5982,-124.1573,74.19,62,1,8.01,clear sky
123,grand gaube,MU,-20.0064,57.6608,70.2,67,76,1.99,broken clouds
124,ratnagiri,IN,16.9833,73.3,76.08,90,60,2.98,broken clouds
125,qaanaaq,GL,77.484,-69.3632,12.65,86,77,7.7,broken clouds
126,chuy,UY,-33.6971,-53.4616,62.19,98,100,7.45,moderate rain
127,mehamn,NO,71.0357,27.8492,44.35,74,99,13.6,overcast clouds
128,barrow,US,71.2906,-156.7887,32.02,80,90,17.27,light snow
129,nizhniy ingash,RU,56.2,96.53,50.72,90,100,3.47,overcast clouds
130,sao jose dos campos,BR,-23.1794,-45.8869,71.67,77,0,6.91,clear sky
131,vnanje gorice,SI,46.0072,14.4219,59.43,95,94,2.01,light rain
132,vila franca do campo,PT,37.7167,-25.4333,68.41,77,62,8.66,broken clouds
133,coruripe,BR,-10.1256,-36.1756,73.85,81,73,10.29,broken clouds
134,ponta do sol,PT,32.6667,-17.1,72.72,69,83,6.24,broken clouds
135,bulawayo,ZW,-20.15,28.5833,57.81,54,4,6.71,clear sky
136,baringo,KE,0.4667,35.9667,70.65,72,44,1.99,scattered clouds
137,mount isa,AU,-20.7333,139.5,80.37,26,13,12.66,few clouds
138,jumla,NP,29.2747,82.1838,57.09,90,16,3.6,few clouds
139,talnakh,RU,69.4865,88.3972,34.43,83,100,7.47,overcast clouds
140,punto fijo,VE,11.6956,-70.1996,83.37,68,8,20.42,clear sky
141,sitka,US,57.0531,-135.33,55.29,76,75,0.0,broken clouds
142,concarneau,FR,47.875,-3.9225,54.39,89,96,8.1,overcast clouds
143,cabo san lucas,MX,22.8909,-109.9124,92.52,70,20,12.66,few clouds
144,harper,LR,4.375,-7.7169,77.36,85,79,4.83,light rain
145,vao,NC,-22.6667,167.4833,67.39,68,100,14.9,overcast clouds
